data,hora,municipio,causa_acidente,tipo_acidente,latitude,longitude
2018-11-29,07:50:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.80724,-43.341026
2018-12-04,16:10:00,PORTO REAL,Falta de Atenção à Condução,Colisão traseira,-22.449371,-44.321712
2018-12-17,05:00:00,SAO JOAO DE MERITI,Falta de Atenção à Condução,Colisão traseira,-22.819967,-43.314999
2018-12-21,10:45:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão traseira,-22.765121,-43.415562
2018-12-27,16:15:00,MAGE,Falta de Atenção à Condução,Colisão traseira,-22.594313,-43.02306
2018-12-29,09:10:00,SAO JOAO DE MERITI,Falta de Atenção à Condução,Colisão traseira,-22.789236,-43.372753
2019-01-17,10:20:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.66185849,-43.25626373
2019-02-01,11:50:00,MAGE,Falta de Atenção à Condução,Colisão traseira,-22.63512,-43.05581
2019-02-15,15:45:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão traseira,-22.73767,-43.49187
2019-02-16,03:30:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão traseira,-22.75159,-43.43851
2019-02-20,06:20:00,SAO JOAO DE MERITI,Falta de Atenção à Condução,Colisão traseira,-22.81621,-43.32446
2019-04-28,08:35:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.64989,-43.1725
2019-05-12,20:30:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão traseira,-22.75678,-43.43107
2019-05-20,07:10:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.67201,-43.28188
2019-05-21,07:30:00,SAO JOAO DE MERITI,Falta de Atenção à Condução,Colisão traseira,-22.81113,-43.33367
2019-06-16,06:45:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.64662,-43.21112
2019-06-22,03:40:00,BARRA MANSA,Falta de Atenção à Condução,Colisão traseira,-22.55906,-44.17284
2019-06-23,19:30:00,MAGE,Falta de Atenção à Condução,Colisão traseira,-22.66471,-43.11056
2019-07-12,18:40:00,GUAPIMIRIM,Falta de Atenção à Condução,Colisão traseira,-22.52195,-43.0007
2019-07-20,15:20:00,BARRA MANSA,Falta de Atenção à Condução,Colisão traseira,-22.56164,-44.14772
2019-08-19,04:20:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão traseira,-22.78395,-43.38195
2019-09-24,14:30:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão traseira,-22.76131,-43.42349
2019-10-02,19:30:00,BELFORD ROXO,Falta de Atenção à Condução,Colisão traseira,-22.77496,-43.40081
2019-10-10,06:50:00,SAO JOAO DE MERITI,Falta de Atenção à Condução,Colisão traseira,-22.81621,-43.32446
2019-10-30,05:35:00,SEROPEDICA,Falta de Atenção à Condução,Colisão traseira,-22.72747,-43.64168
2019-11-25,17:45:00,SAO JOAO DE MERITI,Falta de Atenção à Condução,Colisão traseira,-22.81804,-43.30787
2019-12-29,01:35:00,SAO JOAO DE MERITI,Falta de Atenção à Condução,Colisão traseira,-22.80337,-43.34752
2020-03-26,18:00:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.87827816,-43.21053578
2020-06-20,19:15:00,PARATY,Falta de Atenção à Condução,Colisão traseira,-23.11369899,-44.70863923
2020-06-23,18:35:00,CAMPOS DOS GOYTACAZES,Falta de Atenção à Condução,Colisão traseira,-21.70488703,-41.30979616
2020-06-26,17:30:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.83707798,-43.09492006
2020-07-31,20:00:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.87292569,-43.13625699
2020-08-10,20:20:00,ITABORAI,Falta de Atenção à Condução,Colisão traseira,-22.74431564,-42.80870139
2020-09-24,16:30:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.87117393,-43.15595099
2020-10-02,19:03:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.81049093,-43.06983304
2020-11-20,20:00:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.78913759,-43.00550909
2020-12-10,20:55:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.80546555,-43.06156967
2018-01-24,19:10:00,ITABORAI,Falta de Atenção à Condução,Colisão traseira,-22.7714,-42.928959
2018-04-01,19:00:00,ITABORAI,Falta de Atenção à Condução,Colisão traseira,-22.76351884,-42.88719177
2018-06-15,21:45:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.776459,-42.947842
2018-07-06,20:25:00,CAMPOS DOS GOYTACAZES,Falta de Atenção à Condução,Colisão traseira,-21.696001,-41.310173
2018-07-14,06:25:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.861752,-43.107143
2018-07-20,18:30:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.78116711,-42.96946049
2018-07-30,19:25:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.80087032,-43.05576324
2018-11-13,19:05:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.794992,-43.034481
2018-12-05,18:40:00,CAMPOS DOS GOYTACAZES,Falta de Atenção à Condução,Colisão traseira,-21.785795,-41.381424
2018-12-17,02:00:00,ITABORAI,Falta de Atenção à Condução,Colisão traseira,-22.758444,-42.895023
2019-01-05,22:00:00,ITABORAI,Falta de Atenção à Condução,Colisão traseira,-22.769421,-42.918736
2019-01-09,19:30:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.810507,-43.069859
2019-01-30,01:20:00,ITABORAI,Falta de Atenção à Condução,Colisão traseira,-22.75933,-42.8432
2019-02-15,20:50:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.86175,-43.10714
2019-04-02,01:00:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.77646,-42.94784
2019-04-18,23:17:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.87117,-43.15595
2019-06-28,20:00:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.78703,-42.99589
2019-07-25,20:00:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.87685,-43.11729
2019-08-09,18:15:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.81485,-43.07533
2019-09-17,05:38:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.88518,-43.21704
2019-09-19,22:50:00,ITAGUAI,Falta de Atenção à Condução,Colisão traseira,-22.88088,-43.82441
2019-10-28,18:50:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.87685,-43.11729
2019-11-27,17:00:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.86939,-43.17564
2020-03-13,14:18:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.88517902,-43.21704364
2020-04-28,14:35:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.86939305,-43.175642
2020-04-30,13:10:00,ANGRA DOS REIS,Falta de Atenção à Condução,Colisão traseira,-22.9609111,-44.4382966
2020-05-19,07:30:00,CASIMIRO DE ABREU,Falta de Atenção à Condução,Colisão traseira,-22.49157051,-42.11796332
2020-05-30,15:20:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.80546555,-43.06156967
2020-06-05,10:15:00,ITABORAI,Falta de Atenção à Condução,Colisão traseira,-22.76365068,-42.90223623
2020-09-04,07:00:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.79115777,-43.01514205
2020-09-11,11:30:00,NITEROI,Falta de Atenção à Condução,Colisão traseira,-22.87381074,-43.12640997
2020-09-23,15:50:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.81648739,-43.07728467
2020-10-11,23:40:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.79115777,-43.01514205
2020-10-26,12:25:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.78913759,-43.00550909
2020-11-26,07:30:00,SAO GONCALO,Falta de Atenção à Condução,Colisão traseira,-22.7828205,-42.9766681
